SMILES,NAME,VAL
CCc1c(c(c2ccccc2n1)C(=O)OCc3nc4ccccc4c(n3)O)C,85271502,-4.410811615
COC(=O)C1CCN(CC1)C(=O)c2ccc(c(c2)S(=O)(=O)NCc3ccco3)Cl,85271500,-3.91517318149
c1ccc(cc1)N2C(=O)CCC(=N2)C(=O)OCC(=O)c3ccccc3Cl,85271499,-3.88070397436
CN(C)S(=O)(=O)c1cccc(c1)NC(=O)c2ccc(cc2)NS(=O)(=O)c3cccs3,85271498,-3.89346453335
CN(C)c1cccc(c1)C(=O)NNC(=O)CN2C(=O)C3CC=CCC3C2=O,85271489,-3.84439789895
COc1ccc(cc1OC)CCC(=O)OCC(=O)Nc2c(ccs2)C(=O)N,85271487,-4.27153870024
CC(C)[C@@H](C(=O)N1CCN(CC1)C/C=C/c2ccccc2)NC(=O)c3ccc(cc3Cl)[N+](=O)[O-],85271486,-4.03931576877
CCN(CC)c1ccc(cc1)NC(=O)COc2ccc(cc2)n3cnnn3,85271481,-4.28981774169
c1ccc(cc1)C(=O)NCCC(=O)NNC(=O)COc2ccccc2Cl,85271478,-3.93847606751
CC(C)c1ccc(cc1)NC(=O)CN2C(=O)C3(CCCCCCC3)NC2=O,85271473,-4.35508370907
c1ccc2c(c1)CCC23C(=O)N(C(=O)N3)CC(=O)NCc4cccc(c4)C(F)(F)F,85271472,-3.87859373237
CS(=O)(=O)c1ccc(cc1)C(=O)NNC(=O)c2cc([nH]n2)c3ccccc3,85271471,-4.04823514968
c1ccc2c(c1)CCC23C(=O)N(C(=O)N3)CC(=O)Nc4cccc(c4)Cl,85271470,-3.8339695463
COc1ccc(c(c1)[N+](=O)[O-])NC(=O)COC(=O)C2CCN(CC2)C(=O)c3ccc(cc3)Cl,85271468,-4.32724850371
CCOC(=O)c1ccoc1CN2CCN(CC2)S(=O)(=O)c3ccc(c(c3)C)C,85271467,-4.09318226176
Cc1cc(cc(c1C)S(=O)(=O)Nc2c(nn(c2C)C)C)C(=O)O,85271466,-3.82829970647
CCOC(=O)C1=C(Nc2ccccc2N=C1C)NC(=O)C3CCN(CC3)C(=O)c4ccccc4C,85271465,-4.1285086451
c1ccc2c(c1)CC(N(C2)S(=O)(=O)c3ccccc3[N+](=O)[O-])C(=O)N4CCOCC4,85271463,-3.83080336151
c1cnc(nc1)NS(=O)(=O)c2ccc(cc2)N=Nc3c(nn(c3O)c4c(cc(cc4Cl)Cl)Cl)N,85271461,-4.10280905649
CCCCN1C(=O)C(=O)N(C1=O)CC(=O)Nc2ccc(cc2Cl)F,85271459,-4.04194080331
Cc1ccc(cc1)SCC(=O)NNC(=O)CCS(=O)(=O)c2ccccc2,85271458,-4.05475515294
c1ccc(c(c1)F)SCC(=O)Nc2ccc3c(c2)OCO3,85271456,-3.82770520886
c1ccc(cc1)C(=O)NCCC(=O)Nc2ccc(c(c2)S(=O)(=O)N3CCCCC3)Cl,85271452,-4.17894891867
Cn1cccc1C(=O)OCC(=O)Nc2ccc(c(c2)S(=O)(=O)N3CCCCC3)OC,85271450,-4.12576457584
Cc1cccc(c1C)NC(=O)CN2C(=O)C3(CCCCCCC3)NC2=O,85271449,-3.86301518762
Cc1ccc(cc1C)NC(=O)CN2CCCC2c3cccn3C,85271447,-3.86089102111
c1ccc2c(c1)C(=NS2(=O)=O)NCCC(=O)OCc3nnc(o3)c4ccc(cc4)[N+](=O)[O-],85271446,-4.36805594503
C[C@@H](C(=O)Nc1ccc(cc1)SC(F)F)N2C(=O)C3CCCCC3C2=O,85271443,-3.86238675209
c1cc(cc(c1)S(=O)(=O)NCC(=O)NC2CCCCCC2)C(F)(F)F,85271441,-3.89043335611
Cc1ccc(cc1)NC(=O)CN(C)C(=O)COc2ccccc2c3ccccc3,85271439,-4.54402216433
Cc1ccc(cc1)S(=O)(=O)CCC(=O)NNC(=O)CN(C)S(=O)(=O)c2ccc(cc2)C,85271438,-3.87465183142
